idx: 869	0.322	0.329	0.343	0.994
idx: 870	0.313	0.325	0.334	0.971
idx: 872	0.329	0.320	0.332	0.981
idx: 874	0.331	0.327	0.332	0.989
idx: 875	0.339	0.323	0.328	0.990
idx: 876	0.321	0.338	0.337	0.996
idx: 877	0.311	0.330	0.329	0.970
idx: 881	0.305	0.317	0.325	0.947
idx: 883	0.306	0.319	0.323	0.948
idx: 885	0.328	0.312	0.315	0.956
idx: 888	0.294	0.307	0.328	0.929
idx: 889	0.315	0.322	0.323	0.960
idx: 890	0.325	0.331	0.339	0.995
idx: 892	0.329	0.325	0.325	0.979
idx: 896	0.321	0.338	0.335	0.993
idx: 899	0.327	0.318	0.330	0.975
idx: 902	0.316	0.327	0.335	0.979
idx: 903	0.328	0.309	0.319	0.956
idx: 907	0.312	0.340	0.342	0.995
idx: 908	0.313	0.337	0.327	0.976
idx: 910	0.311	0.301	0.319	0.931
idx: 913	0.329	0.319	0.337	0.985
idx: 914	0.331	0.316	0.333	0.979
idx: 922	0.319	0.326	0.331	0.977
idx: 933	0.355	0.321	0.319	0.996
idx: 937	0.310	0.329	0.349	0.988
idx: 938	0.345	0.304	0.319	0.968
idx: 941	0.338	0.321	0.337	0.997
idx: 944	0.323	0.304	0.320	0.947
idx: 945	0.305	0.325	0.327	0.957
idx: 949	0.334	0.314	0.322	0.969
idx: 956	0.319	0.311	0.312	0.942
idx: 961	0.302	0.344	0.348	0.993
idx: 964	0.324	0.312	0.322	0.958
idx: 967	0.326	0.317	0.336	0.979
idx: 968	0.335	0.300	0.318	0.953
idx: 969	0.318	0.321	0.332	0.972
idx: 972	0.344	0.309	0.334	0.986
idx: 980	0.326	0.326	0.343	0.994
idx: 982	0.326	0.306	0.332	0.964
idx: 986	0.343	0.319	0.325	0.986
idx: 988	0.314	0.301	0.312	0.927
idx: 989	0.315	0.313	0.330	0.959
idx: 991	0.330	0.324	0.323	0.977
idx: 992	0.332	0.307	0.326	0.966
idx: 994	0.332	0.319	0.320	0.971
idx: 995	0.330	0.321	0.343	0.994
idx: 996	0.332	0.315	0.341	0.989
idx: 997	0.317	0.310	0.319	0.945
idx: 1000	0.339	0.317	0.337	0.994
idx: 1002	0.346	0.318	0.323	0.988
idx: 1003	0.327	0.320	0.330	0.976
idx: 1004	0.324	0.327	0.333	0.984
idx: 1005	0.309	0.327	0.335	0.971
idx: 1006	0.330	0.315	0.322	0.967
idx: 1007	0.317	0.327	0.336	0.981
idx: 1008	0.333	0.314	0.322	0.970
idx: 1013	0.315	0.331	0.342	0.988
idx: 1014	0.330	0.310	0.328	0.968
idx: 1024	0.337	0.309	0.316	0.963
idx: 1025	0.337	0.326	0.336	0.999
idx: 1026	0.324	0.314	0.322	0.959
idx: 1027	0.321	0.331	0.328	0.980
idx: 1029	0.310	0.296	0.316	0.922
idx: 1030	0.328	0.332	0.334	0.993
idx: 1035	0.327	0.307	0.322	0.956
idx: 1039	0.337	0.317	0.331	0.984
idx: 1041	0.310	0.338	0.343	0.992
idx: 1044	0.326	0.318	0.327	0.972
idx: 1052	0.321	0.318	0.330	0.969
idx: 1054	0.335	0.319	0.340	0.993
idx: 1055	0.314	0.326	0.331	0.972
idx: 1058	0.345	0.317	0.332	0.994
idx: 1060	0.311	0.343	0.342	0.996
idx: 1061	0.317	0.317	0.334	0.968
idx: 1064	0.337	0.317	0.325	0.979
idx: 1071	0.334	0.321	0.342	0.997
idx: 1074	0.321	0.294	0.307	0.922
idx: 1076	0.332	0.307	0.321	0.960
